iter	Passed	Remaining
805	104665	25192
806	104805	25065
807	104925	24932
808	105064	24805
809	105187	24673
810	105302	24540
811	105413	24405
812	105532	24273
813	105645	24140
814	105752	24005
815	105860	23870
816	105968	23735
817	106081	23602
818	106192	23468
819	106302	23334
820	106418	23202
821	106533	23069
822	106650	22936
823	106766	22804
824	106873	22670
825	106982	22536
826	107110	22406
827	107220	22272
828	107333	22139
829	107446	22007
830	107559	21874
831	107668	21740
832	107777	21607
833	107887	21474
834	107993	21340
835	108107	21207
836	108214	21074
837	108329	20941
838	108437	20808
839	108556	20677
840	108674	20546
841	108789	20414
842	108900	20281
843	109015	20149
844	109129	20017
845	109238	19884
846	109344	19751
847	109450	19618
848	109562	19486
849	109669	19353
850	109776	19220
851	109887	19088
852	109995	18955
853	110106	18823
854	110221	18692
855	110335	18561
856	110453	18430
857	110574	18300
858	110684	18168
859	110799	18037
860	110911	17905
861	111020	17773
862	111138	17643
863	111249	17511
864	111357	17379
865	111467	17247
866	111581	17116
867	111689	16984
868	111802	16853
869	111909	16722
870	112017	16590
871	112128	16459
872	112237	16327
873	112348	16196
874	112463	16066
875	112612	15940
876	112764	15815
877	112876	15684
878	112989	15553
879	113106	15423
880	113216	15292
881	113328	15161
882	113442	15031
883	113555	14900
884	113664	14769
885	113769	14638
886	113878	14507
887	113986	14376
888	114098	14246
889	114204	14115
890	114314	13984
891	114431	13854
892	114547	13725
893	114664	13595
894	114777	13465
895	114893	13335
896	115007	13205
897	115125	13076
898	115235	12946
899	115342	12815
900	115452	12685
901	115562	12555
902	115670	12425
903	115777	12294
904	115886	12164
905	115993	12034
906	116102	11904
907	116209	11774
908	116319	11644
909	116432	11515
910	116561	11387
911	116673	11258
912	116786	11128
913	116901	10999
914	117008	10869
915	117126	10740
916	117235	10611
917	117343	10481
918	117452	10352
919	117566	10223
920	117677	10093
921	117784	9964
922	117892	9835
923	118003	9705
924	118117	9577
925	118226	9447
926	118336	9318
927	118446	9189
928	118567	9061
929	118677	8932
930	118786	8803
931	118901	8675
932	119016	8546
933	119127	8418
934	119245	8289
935	119355	8161
936	119466	8032
937	119585	7904
938	119697	7775
939	119806	7647
940	119915	7518
941	120025	7390
942	120136	7261
943	120246	7133
944	120359	7005
945	120475	6877
946	120708	6755
947	120856	6629
948	120996	6502
949	121122	6374
950	121239	6246
951	121344	6118
952	121456	5989
953	121566	5861
954	121674	5733
955	121780	5604
956	121887	5476
957	121994	5348
958	122108	5220
959	122216	5092
960	122329	4964
961	122438	4836
962	122552	4708
963	122670	4581
964	122788	4453
965	122898	4325
966	123008	4197
967	123218	4073
968	123325	3945
969	123432	3817
970	123542	3689
971	123654	3562
972	123764	3434
973	123871	3306
974	123978	3178
975	124086	3051
976	124194	2923
977	124317	2796
978	124427	2669
979	124539	2541
980	124653	2414
981	124767	2286
982	124876	2159
983	124984	2032
984	125096	1905
985	125209	1777
986	125314	1650
987	125424	1523
988	125533	1396
989	125643	1269
990	125750	1142
991	125863	1015
992	125969	888
993	126078	761
994	126187	634
995	126294	507
996	126403	380
997	126516	253
998	126630	126
999	126740	0
